sentence,place
I move towards the Cafe,Cafe
I move towards the Movie theater,Movie theater
I move towards the Shopping mall,Shopping mall
I move towards the Gym,Gym
I move towards the School,School
I move towards the Office,Office
I move towards the Zoo,Zoo
I move towards the Concert hall,Concert hall
I move towards the Art gallery,Art gallery
I move towards the Stadium,Stadium
I move towards the Hospital,Hospital
I move towards the Farm,Farm
I move towards the Farm market,Farm market
I move towards the Amusement park,Amusement park
I move towards the Spa,Spa
I move towards the Mountain,Mountain
I move towards the Lake,Lake
I move towards the River,River
I move towards the Forest,Forest
I move towards the Jungle,Jungle
I move towards the Desert,Desert
I move towards the Countryside,Countryside
I move towards the City,City
I move towards the Suburb,Suburb
I move towards the Village,Village
I move towards the Town,Town
I move towards the Island,Island
I move towards the Skyscraper,Skyscraper
I move towards the Cinema,Cinema
I move towards the Bookstore,Bookstore
I move towards the Factory,Factory
I move towards the Workshop,Workshop
I move towards the Studio,Studio
I move towards the Garden,Garden
I move towards the Orchard,Orchard
I move towards the Vineyard,Vineyard
I move towards the Cemetery,Cemetery
I move towards the Castle,Castle
I move towards the Historical site,Historical site
I move towards the Cave,Cave
I move towards the Lighthouse,Lighthouse
I move towards the Waterfall,Waterfall
I move towards the Cruise ship,Cruise ship
I move towards the Train station,Train station
I move towards the Airport,Airport
I move towards the Space station,Space station
I move towards the Underground,Underground
I move towards the Planetarium,Planetarium
I move towards the Carnival,Carnival
I move towards the Circus,Circus
I move towards the Wildlife sanctuary,Wildlife sanctuary
I move towards the Aquarium,Aquarium
I move towards the Botanical garden,Botanical garden
I move towards the Coffee shop,Coffee shop
I move towards the Tea house,Tea house
I move towards the Ice cream parlor,Ice cream parlor
I move towards the Bakery,Bakery
I move towards the Farmers' market,Farmers' market
I move towards the Campground,Campground
I move towards the Campsite,Campsite
I move towards the Ski resort,Ski resort
I move towards the Beach resort,Beach resort
I move towards the Safari park,Safari park
I move towards the Sculpture park,Sculpture park
I move towards the University,University
I move towards the College,College
I move towards the Kindergarten,Kindergarten
I move towards the Daycare,Daycare
I move towards the Factory,Factory
I move towards the Lab,Lab
I move towards the Radio station,Radio station
I move towards the Television studio,Television studio
I move towards the Office building,Office building
I move towards the Observatory,Observatory
I move towards the Underwater cave,Underwater cave
I move towards the Haunted house,Haunted house
I move towards the Winery,Winery
I move towards the Microbrewery,Microbrewery
I move towards the Planet,Planet
I move towards the Moon,Moon
I move towards the Sun,Sun
I move towards the Jupiter,Jupiter
I move towards the Forest,Forest
I move towards the Cabin,Cabin
I move towards the Rainforest,Rainforest
I move towards the Jungle,Jungle
I move towards the Wetland,Wetland
I move towards the Volcano,Volcano
I take a trip to the Park,Park
I take a trip to the Beach,Beach
I take a trip to the Library,Library
I take a trip to the Museum,Museum
I take a trip to the Restaurant,Restaurant
I take a trip to the Cafe,Cafe
I take a trip to the Movie theater,Movie theater
I take a trip to the Shopping mall,Shopping mall
I take a trip to the Gym,Gym
I take a trip to the School,School
I take a trip to the Office,Office
I take a trip to the Zoo,Zoo
I take a trip to the Concert hall,Concert hall
I take a trip to the Art gallery,Art gallery
I take a trip to the Stadium,Stadium
I take a trip to the Hospital,Hospital
I take a trip to the Farm,Farm
I take a trip to the Farm market,Farm market
I take a trip to the Amusement park,Amusement park
I take a trip to the Spa,Spa
I take a trip to the Mountain,Mountain
I take a trip to the Lake,Lake
I take a trip to the River,River
I take a trip to the Forest,Forest
I take a trip to the Jungle,Jungle
I take a trip to the Desert,Desert
I take a trip to the Countryside,Countryside
I take a trip to the City,City
I take a trip to the Suburb,Suburb
I take a trip to the Village,Village
I take a trip to the Town,Town
I take a trip to the Island,Island
I take a trip to the Skyscraper,Skyscraper
I take a trip to the Cinema,Cinema
I take a trip to the Bookstore,Bookstore
I take a trip to the Factory,Factory
I take a trip to the Workshop,Workshop
I take a trip to the Studio,Studio
I take a trip to the Garden,Garden
I take a trip to the Orchard,Orchard
I take a trip to the Vineyard,Vineyard
I take a trip to the Cemetery,Cemetery
I take a trip to the Castle,Castle
I take a trip to the Historical site,Historical site
I take a trip to the Cave,Cave
I take a trip to the Lighthouse,Lighthouse
I take a trip to the Waterfall,Waterfall
I take a trip to the Cruise ship,Cruise ship
I take a trip to the Train station,Train station
I take a trip to the Airport,Airport
I take a trip to the Space station,Space station
I take a trip to the Underground,Underground
I take a trip to the Planetarium,Planetarium
I take a trip to the Carnival,Carnival
I take a trip to the Circus,Circus
I take a trip to the Wildlife sanctuary,Wildlife sanctuary
I take a trip to the Aquarium,Aquarium
I take a trip to the Botanical garden,Botanical garden
I take a trip to the Coffee shop,Coffee shop
I take a trip to the Tea house,Tea house
I take a trip to the Ice cream parlor,Ice cream parlor
I take a trip to the Bakery,Bakery
I take a trip to the Farmers' market,Farmers' market
I take a trip to the Campground,Campground
I take a trip to the Campsite,Campsite
I take a trip to the Ski resort,Ski resort
I take a trip to the Beach resort,Beach resort
I take a trip to the Safari park,Safari park
I take a trip to the Sculpture park,Sculpture park
I take a trip to the University,University
I take a trip to the College,College
I take a trip to the Kindergarten,Kindergarten
I take a trip to the Daycare,Daycare
I take a trip to the Factory,Factory
I take a trip to the Lab,Lab
I take a trip to the Radio station,Radio station
I take a trip to the Television studio,Television studio
I take a trip to the Office building,Office building
I take a trip to the Observatory,Observatory
I take a trip to the Underwater cave,Underwater cave
I take a trip to the Haunted house,Haunted house
I take a trip to the Winery,Winery
I take a trip to the Microbrewery,Microbrewery
I take a trip to the Planet,Planet
I take a trip to the Moon,Moon
I take a trip to the Sun,Sun
I take a trip to the Jupiter,Jupiter
I take a trip to the Forest,Forest
I take a trip to the Cabin,Cabin
I take a trip to the Rainforest,Rainforest
I take a trip to the Jungle,Jungle
I take a trip to the Wetland,Wetland
I take a trip to the Volcano,Volcano
I travel to the Park,Park
I travel to the Beach,Beach
I travel to the Library,Library
I travel to the Museum,Museum
I travel to the Restaurant,Restaurant
I travel to the Cafe,Cafe
I travel to the Movie theater,Movie theater
I travel to the Shopping mall,Shopping mall
I travel to the Gym,Gym
I travel to the School,School
I travel to the Office,Office
I travel to the Zoo,Zoo
I travel to the Concert hall,Concert hall
I travel to the Art gallery,Art gallery
I travel to the Stadium,Stadium
I travel to the Hospital,Hospital
I travel to the Farm,Farm
I travel to the Farm market,Farm market
I travel to the Amusement park,Amusement park
I travel to the Spa,Spa
I travel to the Mountain,Mountain
I travel to the Lake,Lake
I travel to the River,River
I travel to the Forest,Forest
I travel to the Jungle,Jungle
I travel to the Desert,Desert
I travel to the Countryside,Countryside
I travel to the City,City
I travel to the Suburb,Suburb
I travel to the Village,Village
I travel to the Town,Town
I travel to the Island,Island
I travel to the Skyscraper,Skyscraper
I travel to the Cinema,Cinema
I travel to the Bookstore,Bookstore
I travel to the Factory,Factory
I travel to the Workshop,Workshop
I travel to the Studio,Studio
I travel to the Garden,Garden
I travel to the Orchard,Orchard
I travel to the Vineyard,Vineyard
I travel to the Cemetery,Cemetery
I travel to the Castle,Castle
I travel to the Historical site,Historical site
I travel to the Cave,Cave
I travel to the Lighthouse,Lighthouse
I travel to the Waterfall,Waterfall
I travel to the Cruise ship,Cruise ship
I travel to the Train station,Train station
I travel to the Airport,Airport
I travel to the Space station,Space station
I travel to the Underground,Underground
I travel to the Planetarium,Planetarium
I travel to the Carnival,Carnival
I travel to the Circus,Circus
I travel to the Wildlife sanctuary,Wildlife sanctuary
I travel to the Aquarium,Aquarium
I travel to the Botanical garden,Botanical garden
I travel to the Coffee shop,Coffee shop
I travel to the Tea house,Tea house
I travel to the Ice cream parlor,Ice cream parlor
I travel to the Bakery,Bakery
I travel to the Farmers' market,Farmers' market
I travel to the Campground,Campground
I travel to the Campsite,Campsite
I travel to the Ski resort,Ski resort
I travel to the Beach resort,Beach resort
I travel to the Safari park,Safari park
I travel to the Sculpture park,Sculpture park
I travel to the University,University
I travel to the College,College
I travel to the Kindergarten,Kindergarten
I travel to the Daycare,Daycare
I travel to the Factory,Factory
I travel to the Lab,Lab
I travel to the Radio station,Radio station
I travel to the Television studio,Television studio
I travel to the Office building,Office building
I travel to the Observatory,Observatory
I travel to the Underwater cave,Underwater cave
I travel to the Haunted house,Haunted house
I travel to the Winery,Winery
I travel to the Microbrewery,Microbrewery
I travel to the Planet,Planet
I travel to the Moon,Moon
I travel to the Sun,Sun
I travel to the Jupiter,Jupiter
I travel to the Forest,Forest
I travel to the Cabin,Cabin
I travel to the Rainforest,Rainforest
I travel to the Jungle,Jungle
I travel to the Wetland,Wetland
I travel to the Volcano,Volcano
I venture to the Park,Park
I venture to the Beach,Beach
I venture to the Library,Library
I venture to the Museum,Museum
I venture to the Restaurant,Restaurant
I venture to the Cafe,Cafe
I venture to the Movie theater,Movie theater
I venture to the Shopping mall,Shopping mall
I venture to the Gym,Gym
I venture to the School,School
I venture to the Office,Office
I venture to the Zoo,Zoo
I venture to the Concert hall,Concert hall
I venture to the Art gallery,Art gallery
I venture to the Stadium,Stadium
I venture to the Hospital,Hospital
I venture to the Farm,Farm
I venture to the Farm market,Farm market
I venture to the Amusement park,Amusement park
I venture to the Spa,Spa
I venture to the Mountain,Mountain
I venture to the Lake,Lake
I venture to the River,River
I venture to the Forest,Forest
I venture to the Jungle,Jungle
I venture to the Desert,Desert
I venture to the Countryside,Countryside
I venture to the City,City
I venture to the Suburb,Suburb
I venture to the Village,Village
I venture to the Town,Town
I venture to the Island,Island
I venture to the Skyscraper,Skyscraper
I venture to the Cinema,Cinema
I venture to the Bookstore,Bookstore
I venture to the Factory,Factory
I venture to the Workshop,Workshop
I venture to the Studio,Studio
I venture to the Garden,Garden
I venture to the Orchard,Orchard
I venture to the Vineyard,Vineyard
I venture to the Cemetery,Cemetery
I venture to the Castle,Castle
I venture to the Historical site,Historical site
I venture to the Cave,Cave
I venture to the Lighthouse,Lighthouse
I venture to the Waterfall,Waterfall
I venture to the Cruise ship,Cruise ship
I venture to the Train station,Train station
I venture to the Airport,Airport
I venture to the Space station,Space station
I venture to the Underground,Underground
I venture to the Planetarium,Planetarium
I venture to the Carnival,Carnival
I venture to the Circus,Circus
I venture to the Wildlife sanctuary,Wildlife sanctuary
I venture to the Aquarium,Aquarium
I venture to the Botanical garden,Botanical garden
I venture to the Coffee shop,Coffee shop
I venture to the Tea house,Tea house
